Ticket ID,Epic,Sprint,Team,Priority,Story Points,Title,Goal,Description,Dependencies,Acceptance Criteria,Test Notes,Done When,Status,Owner,Started At,Completed At,Commit Ref,Tracking Notes
INT-005,EPIC-3,Sprint 4,Core Domain,P0,8,"Build budget engine with monthly, weekly, rolling, and custom cycles",Let users plan spending against their own cycle rather than calendar-month only.,"Support overall, category, merchant, and item-level budgets with configurable cycle anchors. Compute spent, remaining, projected, and threshold states locally.","INT-001, UX-002",Budget math is correct for all supported period types. | Dashboard and reports consume same canonical budget calculations. | Budget state updates immediately after classification changes.,"Date-boundary tests for month-end, week rollovers, and custom ranges.",Budget engine accepted by product and QA.,todo,,,,,
INT-006,EPIC-3,Sprint 4,Mobile App,P0,5,Implement budget setup screens and threshold alerts,Make budget creation and overrun awareness simple for normal users.,"Build budget list, create/edit screens, and threshold alerts for 50%, 80%, and 100% with quiet-mode handling and local scheduling.",INT-005,User can create budget in under 60 seconds. | Threshold alerts do not spam; one alert per threshold crossing per cycle. | Quiet mode suppresses intrusive UI while preserving inbox state.,Alert scheduling tests and end-to-end budget creation flow.,Budget UX ready for beta.,todo,,,,,
INT-007,EPIC-3,Sprint 4,Core Domain,P1,8,"Implement rollups and insights for item, category, merchant, time-of-day, and day-of-week",Provide fast reports without heavy server dependence.,Create local aggregation tables or cached queries for common reporting dimensions. Support comparison with prior period and trend cards.,"UX-002, INT-001, INT-002",Common report queries render within performance budget on 10k local transactions. | Rollups refresh after transaction edits without full recompute whenever possible. | Period comparison is accurate and timezone-safe.,Performance and correctness tests on large local dataset.,Insights screens use precomputed or optimized queries.,todo,,,,,
INT-008,EPIC-3,Sprint 4,Mobile App,P1,3,Implement CSV export and local backup/restore entrypoint,Give users portability and support trust with their own data.,"Generate CSV exports for transactions, items, categories, and budgets. Provide local backup/restore hooks for future expansions while keeping v1 scope manageable.","UX-007, INT-007",User can export a valid CSV from settings. | CSV columns are documented and stable. | Sensitive fields respect privacy settings when export mode requires it.,Open exported CSV in spreadsheet tools and verify schema.,Export works in QA and is documented.,todo,,,,,
API-001,EPIC-4,Sprint 4,Backend,P0,8,Bootstrap Node modular monolith with API and worker runtimes,Create a scalable but understandable backend foundation for v1.,"Set up Fastify or Express-compatible architecture, shared domain modules, dependency boundaries, config loading, structured logging, and worker entrypoint sharing the same modules.",SET-001,"API and worker run as separate processes from same codebase. | Modules own their own services and repositories. | Cross-module access goes through service APIs or events, not table reach-ins.",Module bootstrap tests and smoke route tests.,Backend skeleton ready for feature modules.,done,codex,2026-03-25,2026-03-26,pending-local-commit,"Repo truth: API and worker now bootstrap through explicit module factories and registration helpers, health and heartbeat each own repository/service seams, and both runtimes have tested config loaders. Real domain APIs and worker jobs beyond health and heartbeat remain later-ticket scope."
API-002,EPIC-4,Sprint 4,Backend,P0,5,Implement guest session and multi-device pairing APIs,Support free v1 sign-in and multi-device use without paid auth dependencies.,"Add guest-account creation, token refresh, device registration, and pairing-code flow for adding a second device to the same account.",API-001,New device can create a guest account securely. | Existing user can generate one-time pairing code from trusted device. | Second device can join same account using pairing code. | Revoked or expired codes cannot be reused.,"API integration tests for session creation, refresh, pairing success, expiry, and replay attacks.",Auth flows stable for beta.,todo,,,,,
API-003,EPIC-4,Sprint 4,Backend,P0,8,Implement sync push/pull APIs with idempotency and cursor-based deltas,Make offline-first multi-device sync reliable on bad networks.,"Create batched push endpoint for outbox operations and pull endpoint for cursor-based delta sync. Support idempotency keys, conflict detection, entity versions, and partial failure reporting.","API-001, SET-004",Duplicate push requests do not create duplicate records. | Pull returns only changes since cursor. | Conflict responses are machine-readable and actionable by client. | Large sync batches are chunked safely.,"Concurrency tests, retry tests, and sync replay tests.",Sync APIs pass mobile integration tests.,todo,,,,,
API-004,EPIC-4,Sprint 5,Backend,P0,8,"Implement transactions, items, merchants, categories, rules, and budgets APIs",Provide a complete server model for user data and future web/admin tooling.,"Add CRUD and list endpoints for domain entities. Enforce optimistic concurrency, soft deletes, server-side validation, and pagination/filtering where needed.","API-003, INT-001, INT-002, INT-003, INT-005",All domain entities map cleanly to API schemas. | Write endpoints require entity version or ETag equivalent. | Soft deletes are excluded from normal list responses unless requested. | Validation errors are field-specific and consistent.,Contract tests against OpenAPI schemas; CRUD integration tests.,Domain API suite available in staging.,todo,,,,,
API-005,EPIC-4,Sprint 5,Backend,P1,5,Implement reports and summary APIs with precomputed rollups,Support cross-device consistency and future server-side analytics without slow full-table scans.,"Create report summary and breakdown endpoints backed by daily/monthly rollup tables or efficient queries. Cover totals, trend deltas, budget status, and grouped breakdowns.","API-004, INT-007","Summary endpoint returns canonical totals for selected period. | Breakdown endpoint supports groupBy category, merchant, item, hourOfDay, and dayOfWeek. | Responses include paging or top-N metadata where appropriate.",Data-correctness tests against known fixtures; explain-plan review for query cost.,Reports APIs meet latency and correctness targets.,todo,,,,,
API-006,EPIC-4,Sprint 5,Backend,P1,5,Implement remote config/bootstrap API and version compatibility checks,"Allow staged rollout of parsers, kill switches, and behavior toggles.","Serve config payload by app version, platform, runtime version, and rollout channel. Include parser config, feature flags, min-version rules, and content hash.","SET-006, API-001",Config responses are cacheable and version-aware. | App can detect incompatible native/runtime version from bootstrap response. | Rollback config can be published without code change.,Version-compatibility tests and cache-header verification.,Bootstrap endpoint used by mobile app.,todo,,,,,
API-007,EPIC-4,Sprint 5,Backend,P1,5,"Implement background jobs for rollups, cleanup, and export generation",Keep API paths fast and maintenance tasks isolated.,"Create worker jobs for daily rollups, old-raw-data pruning, stale pairing cleanup, export generation, and delayed retries. Use DB-backed or simple queue abstraction compatible with monolith.","API-001, API-003, API-005",Jobs are idempotent and can be retried safely. | Failed jobs are observable with dead-letter or failure log strategy. | Operational dashboards show queue depth and failure counts.,Job retry tests and rollback-safe reruns.,Worker runtime operational in staging.,todo,,,,,
SYNC-001,EPIC-4,Sprint 5,Mobile Platform,P0,8,"Implement local-first outbox, retry policy, and conflict queue on mobile",Guarantee offline writes and resilient sync on poor networks.,"Create outbox table, idempotency keys, retry scheduler, network observer, sync chunking, and conflict queue UI hooks. Respect battery and data-saver constraints.","API-003, CAP-006",Every local write creates a sync operation unless local-only mode is enabled. | Retries use exponential backoff with jitter. | Conflicts are surfaced without data loss. | Sync can resume after process death or network change.,Offline/online toggle tests and repeated retry tests.,Multi-device sync stable in beta.,todo,,,,,
QA-001,EPIC-5,Sprint 5,QA/Automation,P0,8,"Create test harnesses, fixtures, and quality matrix",Make v1 release quality measurable and repeatable.,"Set up unit, integration, end-to-end, parser-fixture, load, and performance suites. Define supported-device matrix, smoke suite, regression suite, and release checklist.","SET-002, CAP-002",Parser fixtures are versioned and easy to expand. | Critical user flows have automated E2E coverage. | Quality matrix maps each feature to required test levels.,Meta-ticket for adding tests and verifying suites in CI.,Test strategy approved and automated baseline running.,todo,,,,,
QA-002,EPIC-5,Sprint 6,Security/Backend/Mobile,P0,8,"Implement privacy, security, and sensitive-data handling baseline",Ship a trustworthy consumer product around financial behavior data.,"Add token storage hardening, HTTPS/TLS enforcement, redaction policies, raw notification retention limits, audit events for destructive edits, and privacy-mode defaults. Review Play Data Safety inputs.","API-002, UX-007, CAP-004",Sensitive tokens are stored securely. | Raw notification content is pruned per retention policy. | Debug exports are redacted by default. | Data collection and retention are documented for privacy review.,"Security checklist, retention tests, and negative tests for unauthorized access.",Security sign-off obtained for beta.,todo,,,,,
QA-003,EPIC-5,Sprint 6,Mobile Platform,P0,5,"Optimize low-internet behavior, app size, and runtime performance",Make the product lightweight and usable across common Indian device/network conditions.,"Profile startup, navigation, capture-to-prompt latency, DB query latency, sync payload sizes, and JS bundle size. Implement caching, query indexes, lazy loading, and asset trimming as needed.","UX-002, SYNC-001, INT-007",App meets agreed cold-start and navigation budgets on baseline devices. | Core dashboards work offline from local data. | Sync payloads are chunked and compressed where appropriate. | Release build size stays within target budget.,Performance profiling on low/mid-tier Android devices and throttled networks.,Performance budget met and documented.,todo,,,,,
QA-004,EPIC-5,Sprint 6,Release Engineering,P1,5,"Set up OTA channels, runtime versioning, and rollback playbook",Update JS/config safely without breaking native compatibility.,"Configure internal, beta, and production channels; runtime version policy; staged rollout steps; rollback checklist; and change-type matrix explaining when store release is required.","SET-006, API-006",OTA channels are isolated and testable. | Rollback can disable or revert bad JS/config quickly. | Native-incompatible changes are blocked from OTA path.,Dry-run rollout and rollback in non-production channels.,OTA process approved by engineering leads.,todo,,,,,
QA-005,EPIC-5,Sprint 6,Observability,P1,5,"Implement analytics, crash reporting, and operational dashboards","Know when capture, sync, or classification quality regresses in the field.","Add privacy-safe event tracking for onboarding completion, permission denial, capture success/failure, parser fallbacks, classify latency, sync errors, and budget alert delivery. Build dashboards and alert thresholds.","CAP-002, SYNC-001, API-007",Critical funnels and failure modes are measurable. | Event schema is versioned and documented. | Alerts fire on severe capture or sync failure spikes.,Event contract tests and dashboard validation with seeded events.,Operational telemetry available before beta.,todo,,,,,
REL-001,EPIC-5,Sprint 7,Product/QA/Release,P0,8,"Run closed beta, triage defects, and produce release candidate",Validate stability and usability before public launch.,"Recruit beta cohort, monitor dashboards, collect qualitative feedback, run daily triage, and fix release-blocking issues. Produce release notes and known-issues list.","QA-001, QA-002, QA-003, QA-004, QA-005",Beta exit criteria are defined and measured. | All P0/P1 launch blockers are resolved or explicitly waived. | Release candidate is tagged and reproducible.,Full regression suite on release candidate; beta feedback review.,Go/no-go decision completed.,todo,,,,,
REL-002,EPIC-5,Sprint 7,Release/Compliance,P0,5,"Prepare Play Store listing, policy declarations, support docs, and launch operations",Complete the non-code work required for public release.,"Finalize screenshots, description, privacy policy, data safety form, support email/process, FAQ, known limitations, and initial support runbooks.","REL-001, QA-002",Store listing assets are approved by product and compliance. | Privacy policy and data safety answers match shipped behavior. | Support and incident runbooks exist for day-1 operations.,Cross-check policy declarations against app behavior and telemetry.,Launch package complete and approved.,todo,,,,,
